in,out,beat,dajiao_finish,on position,zukuang_finish,a1,a2,b1,b2,c1,c2,c3,c4,time
2021/11/19 20:19,2021/11/19 20:19,38,18 20,18 53,19 17,26,23,45,45,83,44,44,82,19
2021/11/19 20:19,2021/11/19 20:20,31,18 58,19 25,19 54,25,22,45,45,84,43,43,83,18
2021/11/19 20:20,2021/11/19 20:20,35,19 30,20 02,20 25,26,23,46,45,82,45,44,82,19
2021/11/19 20:20,2021/11/19 20:21,27,20 07,20 34,21 00,26,23,45,45,83,44,43,83,18
2021/11/19 20:21,2021/11/19 20:21,34,20 38,21 08,21 27,26,24,46,45,84,42,43,83,18
2021/11/19 20:21,2021/11/19 20:22,39,21 13,21 36,22 01,26,24,45,45,85,43,43,83,19
2021/11/19 20:22,2021/11/19 20:22,32,21 41,22 09,22 40,27,25,45,45,84,42,43,84,19
2021/11/19 20:22,2021/11/19 20:23,29,22 14,22 49,23 12,26,23,45,45,82,45,44,83,19
2021/11/19 20:23,2021/11/19 20:24,36,22 53,23 21,23 42,25,22,46,45,84,44,44,83,19
2021/11/19 20:24,2021/11/19 20:24,41,23 25,23 50,24 18,26,22,45,45,81,45,45,82,19
2021/11/19 20:24,2021/11/19 20:25,43,23 55,24 26,24 59,26,22,45,45,83,45,44,82,19
2021/11/19 20:26,2021/11/19 20:26,29,25 12,25 49,26 24,26,24,45,45,82,44,44,82,18
2021/11/19 20:26,2021/11/19 20:27,29,25 54,26 32,26 52,26,23,46,45,84,43,43,83,18
2021/11/19 20:27,2021/11/19 20:27,22,26 37,27 01,27 21,26,23,46,45,83,44,44,84,19
2021/11/19 20:27,2021/11/19 20:27,22,27 06,27 30,27 43,27,24,46,45,84,42,42,84,18
2021/11/19 20:27,2021/11/19 20:28,36,27 35,27 51,28 05,27,23,46,45,84,42,42,84,19
2021/11/19 20:28,2021/11/19 20:29,27,28 19,28 50,29 11,26,23,46,45,82,45,44,82,19
2021/11/19 20:29,2021/11/19 20:29,25,28 55,29 19,29 37,26,22,46,45,82,43,44,83,18
2021/11/19 20:29,2021/11/19 20:30,25,29 24,29 45,30 02,26,22,46,45,85,42,43,84,18
2021/11/19 20:30,2021/11/19 20:30,26,29 50,30 10,30 27,26,22,46,45,83,45,45,82,18
2021/11/19 20:30,2021/11/19 20:31,24,30 15,30 35,30 54,26,23,46,45,82,42,43,82,18
2021/11/19 20:31,2021/11/19 20:31,29,30 40,31 02,31 17,26,23,46,45,83,43,42,84,19
2021/11/19 20:31,2021/11/19 20:32,29,31 07,31 26,31 46,26,22,46,45,85,42,43,85,19
2021/11/19 20:32,2021/11/19 20:32,27,31 30,31 54,32 15,26,22,46,45,84,43,43,83,18
