进料,出料,节拍,打胶完成,边框放到位,组框完成,长边扭矩1,长边扭矩2,短边扭矩1,短边扭矩2,边框1出胶量,边框2出胶量,边框3出胶量,边框4出胶量,打胶时间
2021-11-19 20:37:44,2021-11-19 20:38:23,39,37 21,37 41,37 58,26,23,46,45,84,42,43,84,19
2021-11-19 20:38:23,2021-11-19 20:38:54,31,37 46,38 06,38 37,26,22,46,45,84,46,43,84,19
2021-11-19 20:38:54,2021-11-19 20:39:30,36,38 11,38 45,39 08,26,22,46,45,82,44,43,84,18
2021-11-19 20:39:30,2021-11-19 20:39:59,29,38 50,39 16,39 44,26,23,46,45,83,44,47,82,18
2021-11-19 20:39:59,2021-11-19 20:40:28,29,39 21,39 53,40 13,26,22,46,45,84,43,43,81,19
2021-11-19 20:40:28,2021-11-19 20:40:56,28,39 57,40 21,40 42,26,23,46,45,82,44,45,82,19
2021-11-19 20:40:56,2021-11-19 20:41:31,35,40 26,40 50,41 10,26,22,46,45,84,42,43,84,18
2021-11-19 20:41:31,2021-11-19 20:42:36,65,40 55,41 19,41 45,26,22,46,45,83,44,43,83,18
2021-11-19 20:42:36,2021-11-19 20:43:05,29,41 24,41 53,42 50,27,23,46,45,84,44,44,83,18
2021-11-19 20:43:05,2021-11-19 20:43:35,30,41 58,42 59,43 20,26,23,46,45,83,44,43,84,18
2021-11-19 20:43:35,2021-11-19 20:44:06,31,43 04,43 28,43 49,27,23,46,45,83,44,44,83,19
2021-11-19 20:44:06,2021-11-19 20:44:35,29,43 33,43 57,44 21,26,23,45,45,82,44,44,82,18
2021-11-19 20:44:35,2021-11-19 20:45:04,29,44 02,44 29,44 49,26,22,46,45,84,43,43,83,18
2021-11-19 20:45:04,2021-11-19 20:45:35,31,44 34,44 58,45 19,27,23,46,45,83,44,45,83,19
2021-11-19 20:45:35,2021-11-19 20:46:55,80,45 02,45 27,45 49,25,23,46,45,84,42,44,82,18
2021-11-19 20:46:55,2021-11-19 20:47:43,48,45 32,45 58,47 09,26,23,46,45,83,44,43,83,19
2021-11-19 20:48:19,2021-11-19 20:49:16,57,47 22,48 05,48 34,27,23,46,45,82,46,45,82,18
2021-11-19 20:49:16,2021-11-19 20:50:13,57,48 09,48 42,49 30,26,23,46,45,83,43,43,82,19
2021-11-19 20:50:13,2021-11-19 20:54:40,267,53 53,54 01,54 10,26,22,46,45,84,43,43,83,18
2021-11-19 20:54:40,2021-11-19 20:55:12,32,54 31,54 39,54 55,26,22,46,45,83,43,43,83,37
2021-11-19 20:58:23,2021-11-19 21:04:29,366,04 06,04 14,04 24,26,21,46,45,83,43,43,84,36
2021-11-19 21:04:29,2021-11-19 21:04:51,22,04 25,04 36,04 46,26,23,46,45,82,44,44,83,37
2021-11-19 21:04:51,2021-11-19 21:07:27,156,04 44,04 54,05 05,27,23,47,46,84,42,43,84,19
2021-11-19 21:07:27,2021-11-19 21:08:31,64,05 03,05 13,07 41,26,22,46,45,82,44,43,84,19
2021-11-19 21:08:31,2021-11-19 21:09:52,81,09 29,09 37,09 47,26,21,46,45,83,46,44,83,18
2021-11-19 21:09:52,2021-11-19 21:10:26,34,09 48,10 00,10 09,26,22,46,45,81,45,45,82,37
2021-11-19 21:10:26,2021-11-19 21:11:00,34,10 08,10 18,10 40,26,22,46,45,82,43,44,83,19
2021-11-19 21:11:00,2021-11-19 21:11:38,38,10 27,10 48,11 14,26,22,46,45,84,43,43,83,19
2021-11-19 21:11:38,2021-11-19 21:12:08,30,10 53,11 23,11 52,25,23,46,45,84,42,43,84,19
2021-11-19 21:12:08,2021-11-19 21:12:40,32,11 27,12 00,12 22,26,22,46,45,84,42,43,84,19
2021-11-19 21:12:40,2021-11-19 21:13:10,30,12 05,12 31,12 54,26,22,46,45,84,43,43,83,19
2021-11-19 21:13:10,2021-11-19 21:22:12,542,12 35,13 02,13 24,26,22,46,45,83,45,45,82,18
