组框机状态,打胶机状态,打胶机是否缺胶,打胶机是否缺料,打胶机是否急停,时间
自动,运行中,否,否,否,2021-11-20 01:23:50
堵线,运行中,否,否,否,2021-11-20 01:24:10
自动,运行中,否,否,否,2021-11-20 01:24:23
堵线,运行中,否,否,否,2021-11-20 01:24:42
自动,运行中,否,否,否,2021-11-20 01:24:50
堵线,运行中,否,否,否,2021-11-20 01:25:10
等料,运行中,否,否,否,2021-11-20 01:25:20
自动,运行中,否,否,否,2021-11-20 01:33:05
等料,运行中,否,否,否,2021-11-20 01:33:48
自动,空闲,否,否,否,2021-11-20 01:33:58
自动,运行中,否,否,否,2021-11-20 01:34:06
等料,运行中,否,否,否,2021-11-20 01:34:17
自动,运行中,否,否,否,2021-11-20 01:34:24
自动,空闲,否,否,否,2021-11-20 01:35:01
自动,运行中,否,否,否,2021-11-20 01:35:04
堵线,运行中,否,否,否,2021-11-20 01:35:07
自动,运行中,否,否,否,2021-11-20 01:35:09
堵线,运行中,否,否,否,2021-11-20 01:35:29
自动,运行中,否,否,否,2021-11-20 01:36:20
堵线,运行中,否,否,否,2021-11-20 01:36:33
自动,运行中,否,否,否,2021-11-20 01:36:35
堵线,运行中,否,否,否,2021-11-20 01:36:55
堵线,空闲,否,否,否,2021-11-20 01:37:03
堵线,运行中,否,否,否,2021-11-20 01:37:09
自动,运行中,否,否,否,2021-11-20 01:37:19
堵线,运行中,否,否,否,2021-11-20 01:37:38
自动,运行中,否,否,否,2021-11-20 01:37:51
堵线,运行中,否,否,否,2021-11-20 01:38:11
自动,运行中,否,否,否,2021-11-20 01:38:24
堵线,运行中,否,否,否,2021-11-20 01:38:44
自动,运行中,否,否,否,2021-11-20 01:38:52
堵线,运行中,否,否,否,2021-11-20 01:39:11
自动,运行中,否,否,否,2021-11-20 01:39:36
堵线,运行中,否,否,否,2021-11-20 01:39:49
自动,运行中,否,否,否,2021-11-20 01:40:08
堵线,运行中,否,否,否,2021-11-20 01:40:27
自动,运行中,否,否,否,2021-11-20 01:40:40
堵线,运行中,否,否,否,2021-11-20 01:41:00
自动,运行中,否,否,否,2021-11-20 01:41:26
堵线,运行中,否,否,否,2021-11-20 01:41:45
自动,运行中,否,否,否,2021-11-20 01:42:04
堵线,运行中,否,否,否,2021-11-20 01:42:23
自动,运行中,否,否,否,2021-11-20 01:42:38
堵线,运行中,否,否,否,2021-11-20 01:42:54
堵线,空闲,否,否,否,2021-11-20 01:43:01
自动,空闲,否,否,否,2021-11-20 01:43:09
堵线,空闲,否,否,否,2021-11-20 01:43:29
等料,空闲,否,否,否,2021-11-20 01:43:42
自动,空闲,否,否,否,2021-11-20 01:45:20
等料,空闲,否,否,否,2021-11-20 01:45:38
自动,运行中,否,否,否,2021-11-20 01:52:31
堵线,运行中,否,否,否,2021-11-20 01:53:08
自动,运行中,否,否,否,2021-11-20 01:53:14
堵线,运行中,否,否,否,2021-11-20 01:54:10
自动,运行中,否,否,否,2021-11-20 01:54:25
堵线,运行中,否,否,否,2021-11-20 01:54:45
自动,运行中,否,否,否,2021-11-20 01:54:50
堵线,运行中,否,否,否,2021-11-20 01:55:10
自动,运行中,否,否,否,2021-11-20 01:55:24
堵线,运行中,否,否,否,2021-11-20 01:55:40
自动,运行中,否,否,否,2021-11-20 01:55:48
堵线,运行中,否,否,否,2021-11-20 01:56:07
自动,运行中,否,否,否,2021-11-20 01:56:15
堵线,运行中,否,否,否,2021-11-20 01:56:34
自动,运行中,否,否,否,2021-11-20 01:56:45
堵线,运行中,否,否,否,2021-11-20 01:57:04
自动,运行中,否,否,否,2021-11-20 01:57:12
堵线,运行中,否,否,否,2021-11-20 01:57:32
自动,运行中,否,否,否,2021-11-20 01:57:50
堵线,运行中,否,否,否,2021-11-20 01:58:34
自动,运行中,否,否,否,2021-11-20 01:58:55
堵线,运行中,否,否,否,2021-11-20 01:59:14
自动,运行中,否,否,否,2021-11-20 01:59:20
堵线,运行中,否,否,否,2021-11-20 01:59:39
堵线,空闲,否,否,否,2021-11-20 01:59:50
自动,空闲,否,否,否,2021-11-20 01:59:52
堵线,空闲,否,否,否,2021-11-20 02:00:12
自动,空闲,否,否,否,2021-11-20 02:00:57
堵线,空闲,否,否,否,2021-11-20 02:01:16
自动,空闲,否,否,否,2021-11-20 02:01:23
自动,运行中,否,否,否,2021-11-20 02:01:42
堵线,运行中,否,否,否,2021-11-20 02:03:41
自动,运行中,否,否,否,2021-11-20 02:03:53
堵线,运行中,否,否,否,2021-11-20 02:04:06
自动,运行中,否,否,否,2021-11-20 02:04:19
堵线,运行中,否,否,否,2021-11-20 02:04:39
自动,运行中,否,否,否,2021-11-20 02:05:10
堵线,运行中,否,否,否,2021-11-20 02:06:00
自动,运行中,否,否,否,2021-11-20 02:06:32
堵线,运行中,否,否,否,2021-11-20 02:06:51
自动,运行中,否,否,否,2021-11-20 02:06:59
堵线,运行中,否,否,否,2021-11-20 02:07:19
自动,运行中,否,否,否,2021-11-20 02:07:32
堵线,运行中,否,否,否,2021-11-20 02:07:50
自动,运行中,否,否,否,2021-11-20 02:08:01
堵线,运行中,否,否,否,2021-11-20 02:08:20
堵线,空闲,否,否,否,2021-11-20 02:08:30
自动,空闲,否,否,否,2021-11-20 02:08:41
堵线,空闲,否,否,否,2021-11-20 02:08:57
自动,空闲,否,否,否,2021-11-20 02:09:10
等料,空闲,否,否,否,2021-11-20 02:09:51
等料,运行中,否,否,否,2021-11-20 02:10:46
自动,运行中,否,否,否,2021-11-20 02:11:06
堵线,运行中,否,否,否,2021-11-20 02:13:08
自动,运行中,否,否,否,2021-11-20 02:13:21
堵线,运行中,否,否,否,2021-11-20 02:13:40
自动,运行中,否,否,否,2021-11-20 02:13:53
堵线,运行中,否,否,否,2021-11-20 02:14:12
自动,运行中,否,否,否,2021-11-20 02:15:01
堵线,运行中,否,否,否,2021-11-20 02:15:21
自动,运行中,否,否,否,2021-11-20 02:15:41
堵线,运行中,否,否,否,2021-11-20 02:16:23
自动,运行中,否,否,否,2021-11-20 02:16:45
堵线,运行中,否,否,否,2021-11-20 02:17:19
自动,运行中,否,否,否,2021-11-20 02:17:22
堵线,运行中,否,否,否,2021-11-20 02:17:42
自动,运行中,否,否,否,2021-11-20 02:18:26
堵线,运行中,否,否,否,2021-11-20 02:18:39
自动,运行中,否,否,否,2021-11-20 02:19:06
堵线,运行中,否,否,否,2021-11-20 02:19:19
自动,运行中,否,否,否,2021-11-20 02:19:25
堵线,运行中,否,否,否,2021-11-20 02:19:44
自动,运行中,否,否,否,2021-11-20 02:20:05
堵线,运行中,否,否,否,2021-11-20 02:20:25
堵线,空闲,否,否,否,2021-11-20 02:20:33
自动,空闲,否,否,否,2021-11-20 02:20:46
堵线,空闲,否,否,否,2021-11-20 02:21:05
等料,空闲,否,否,否,2021-11-20 02:21:45
等料,运行中,否,否,否,2021-11-20 02:22:44
自动,运行中,否,否,否,2021-11-20 02:22:57
堵线,运行中,否,否,否,2021-11-20 02:24:03
自动,运行中,否,否,否,2021-11-20 02:24:08
堵线,运行中,否,否,否,2021-11-20 02:24:28
自动,运行中,否,否,否,2021-11-20 02:24:41
堵线,运行中,否,否,否,2021-11-20 02:25:00
自动,运行中,否,否,否,2021-11-20 02:25:17
堵线,运行中,否,否,否,2021-11-20 02:25:30
自动,运行中,否,否,否,2021-11-20 02:25:43
堵线,运行中,否,否,否,2021-11-20 02:26:03
自动,运行中,否,否,否,2021-11-20 02:26:16
堵线,运行中,否,否,否,2021-11-20 02:26:35
自动,运行中,否,否,否,2021-11-20 02:26:48
堵线,运行中,否,否,否,2021-11-20 02:27:08
自动,运行中,否,否,否,2021-11-20 02:27:18
堵线,运行中,否,否,否,2021-11-20 02:27:38
自动,运行中,否,否,否,2021-11-20 02:27:59
堵线,运行中,否,否,否,2021-11-20 02:28:12
自动,运行中,否,否,否,2021-11-20 02:28:42
堵线,运行中,否,否,否,2021-11-20 02:28:55
自动,运行中,否,否,否,2021-11-20 02:29:29
堵线,运行中,否,否,否,2021-11-20 02:29:48
自动,运行中,否,否,否,2021-11-20 02:30:37
堵线,运行中,否,否,否,2021-11-20 02:30:56
自动,运行中,否,否,否,2021-11-20 02:31:20
堵线,运行中,否,否,否,2021-11-20 02:31:39
自动,运行中,否,否,否,2021-11-20 02:32:03
堵线,运行中,否,否,否,2021-11-20 02:32:20
自动,运行中,否,否,否,2021-11-20 02:32:44
堵线,运行中,否,否,否,2021-11-20 02:33:04
自动,运行中,否,否,否,2021-11-20 02:34:07
堵线,运行中,否,否,否,2021-11-20 02:34:27
自动,运行中,否,否,否,2021-11-20 02:36:00
堵线,运行中,否,否,否,2021-11-20 02:36:02
自动,运行中,否,否,否,2021-11-20 02:36:39
堵线,运行中,否,否,否,2021-11-20 02:36:59
自动,运行中,否,否,否,2021-11-20 02:37:36
堵线,运行中,否,否,否,2021-11-20 02:37:49
自动,运行中,否,否,否,2021-11-20 02:38:42
堵线,运行中,否,否,否,2021-11-20 02:39:01
自动,运行中,否,否,否,2021-11-20 02:39:55
堵线,运行中,否,否,否,2021-11-20 02:40:08
自动,运行中,否,否,否,2021-11-20 02:40:39
堵线,运行中,否,否,否,2021-11-20 02:40:59
自动,运行中,否,否,否,2021-11-20 02:41:29
堵线,运行中,否,否,否,2021-11-20 02:41:42
自动,运行中,否,否,否,2021-11-20 02:42:11
堵线,运行中,否,否,否,2021-11-20 02:42:30
自动,运行中,否,否,否,2021-11-20 02:42:54
堵线,运行中,否,否,否,2021-11-20 02:43:14
自动,运行中,否,否,否,2021-11-20 02:43:35
堵线,运行中,否,否,否,2021-11-20 02:43:54
自动,运行中,否,否,否,2021-11-20 02:44:15
堵线,运行中,否,否,否,2021-11-20 02:44:35
自动,运行中,否,否,否,2021-11-20 02:44:58
堵线,运行中,否,否,否,2021-11-20 02:45:18
自动,运行中,否,否,否,2021-11-20 02:46:24
堵线,运行中,否,否,否,2021-11-20 02:46:37
自动,运行中,否,否,否,2021-11-20 02:47:36
堵线,运行中,否,否,否,2021-11-20 02:47:52
自动,运行中,否,否,否,2021-11-20 02:48:37
堵线,运行中,否,否,否,2021-11-20 02:49:44
自动,运行中,否,否,否,2021-11-20 02:50:55
堵线,运行中,否,否,否,2021-11-20 02:51:14
自动,运行中,否,否,否,2021-11-20 02:51:35
堵线,运行中,否,否,否,2021-11-20 02:51:55
自动,运行中,否,否,否,2021-11-20 02:52:10
堵线,运行中,否,否,否,2021-11-20 02:52:30
自动,运行中,否,否,否,2021-11-20 02:53:05
堵线,运行中,否,否,否,2021-11-20 02:53:25
自动,运行中,否,否,否,2021-11-20 02:53:40
堵线,运行中,否,否,否,2021-11-20 02:54:00
等料,运行中,否,否,否,2021-11-20 02:54:23
自动,运行中,否,否,否,2021-11-20 02:54:45
堵线,运行中,否,否,否,2021-11-20 02:55:04
自动,运行中,否,否,否,2021-11-20 02:55:06
堵线,运行中,否,否,否,2021-11-20 02:55:26
自动,运行中,否,否,否,2021-11-20 02:56:08
堵线,运行中,否,否,否,2021-11-20 02:56:27
自动,运行中,否,否,否,2021-11-20 02:56:46
堵线,运行中,否,否,否,2021-11-20 02:57:05
自动,运行中,否,否,否,2021-11-20 02:57:31
堵线,运行中,否,否,否,2021-11-20 02:57:51
自动,运行中,否,否,否,2021-11-20 02:58:17
堵线,运行中,否,否,否,2021-11-20 02:58:36
自动,运行中,否,否,否,2021-11-20 02:59:35
堵线,运行中,否,否,否,2021-11-20 02:59:48
自动,运行中,否,否,否,2021-11-20 03:02:08
堵线,运行中,否,否,否,2021-11-20 03:02:27
自动,运行中,否,否,否,2021-11-20 03:04:21
堵线,运行中,否,否,否,2021-11-20 03:04:40
自动,运行中,否,否,否,2021-11-20 03:05:17
堵线,运行中,否,否,否,2021-11-20 03:05:37
自动,运行中,否,否,否,2021-11-20 03:05:55
堵线,运行中,否,否,否,2021-11-20 03:06:14
自动,运行中,否,否,否,2021-11-20 03:06:39
堵线,运行中,否,否,否,2021-11-20 03:06:52
自动,运行中,否,否,否,2021-11-20 03:07:08
堵线,运行中,否,否,否,2021-11-20 03:07:27
自动,运行中,否,否,否,2021-11-20 03:07:59
堵线,运行中,否,否,否,2021-11-20 03:08:18
自动,运行中,否,否,否,2021-11-20 03:08:37
堵线,运行中,否,否,否,2021-11-20 03:08:56
自动,运行中,否,否,否,2021-11-20 03:09:07
堵线,运行中,否,否,否,2021-11-20 03:09:26
自动,运行中,否,否,否,2021-11-20 03:09:42
堵线,运行中,否,否,否,2021-11-20 03:10:01
自动,运行中,否,否,否,2021-11-20 03:10:20
堵线,运行中,否,否,否,2021-11-20 03:10:39
自动,运行中,否,否,否,2021-11-20 03:10:49
堵线,运行中,否,否,否,2021-11-20 03:11:09
自动,运行中,否,否,否,2021-11-20 03:11:30
堵线,运行中,否,否,否,2021-11-20 03:11:47
自动,运行中,否,否,否,2021-11-20 03:12:02
堵线,运行中,否,否,否,2021-11-20 03:12:22
自动,运行中,否,否,否,2021-11-20 03:12:35
堵线,运行中,否,否,否,2021-11-20 03:12:54
自动,运行中,否,否,否,2021-11-20 03:13:14
堵线,运行中,否,否,否,2021-11-20 03:13:28
自动,运行中,否,否,否,2021-11-20 03:13:41
堵线,运行中,否,否,否,2021-11-20 03:14:00
自动,运行中,否,否,否,2021-11-20 03:14:57
堵线,运行中,否,否,否,2021-11-20 03:15:10
自动,运行中,否,否,否,2021-11-20 03:15:39
堵线,运行中,否,否,否,2021-11-20 03:15:59
自动,运行中,否,否,否,2021-11-20 03:16:12
堵线,运行中,否,否,否,2021-11-20 03:16:31
自动,运行中,否,否,否,2021-11-20 03:16:42
堵线,运行中,否,否,否,2021-11-20 03:17:01
自动,运行中,否,否,否,2021-11-20 03:17:14
堵线,运行中,否,否,否,2021-11-20 03:18:01
自动,运行中,否,否,否,2021-11-20 03:18:09
堵线,运行中,否,否,否,2021-11-20 03:18:29
自动,运行中,否,否,否,2021-11-20 03:18:42
堵线,运行中,否,否,否,2021-11-20 03:19:01
自动,运行中,否,否,否,2021-11-20 03:19:19
堵线,运行中,否,否,否,2021-11-20 03:19:39
自动,运行中,否,否,否,2021-11-20 03:20:00
堵线,运行中,否,否,否,2021-11-20 03:20:19
自动,运行中,否,否,否,2021-11-20 03:20:27
堵线,运行中,否,否,否,2021-11-20 03:20:47
自动,运行中,否,否,否,2021-11-20 03:20:57
堵线,运行中,否,否,否,2021-11-20 03:21:16
自动,运行中,否,否,否,2021-11-20 03:21:56
堵线,运行中,否,否,否,2021-11-20 03:22:15
自动,运行中,否,否,否,2021-11-20 03:22:23
堵线,运行中,否,否,否,2021-11-20 03:22:42
自动,运行中,否,否,否,2021-11-20 03:22:53
堵线,运行中,否,否,否,2021-11-20 03:23:13
自动,运行中,否,否,否,2021-11-20 03:23:29
堵线,运行中,否,否,否,2021-11-20 03:23:48
自动,运行中,否,否,否,2021-11-20 03:24:01
堵线,运行中,否,否,否,2021-11-20 03:24:20
自动,运行中,否,否,否,2021-11-20 03:24:36
堵线,运行中,否,否,否,2021-11-20 03:24:56
堵线,运行中,否,是,否,2021-11-20 03:25:11
自动,运行中,否,是,否,2021-11-20 03:25:14
堵线,运行中,否,是,否,2021-11-20 03:25:34
自动,运行中,否,是,否,2021-11-20 03:25:47
堵线,运行中,否,是,否,2021-11-20 03:26:06
堵线,空闲,否,是,否,2021-11-20 03:26:14
自动,空闲,否,是,否,2021-11-20 03:26:19
堵线,空闲,否,是,否,2021-11-20 03:26:39
自动,空闲,否,是,否,2021-11-20 03:26:49
堵线,空闲,否,是,否,2021-11-20 03:27:09
自动,空闲,否,是,否,2021-11-20 03:27:25
自动,运行中,否,否,否,2021-11-20 03:27:37
堵线,运行中,否,否,否,2021-11-20 03:29:18
自动,运行中,否,否,否,2021-11-20 03:29:32
堵线,运行中,否,否,否,2021-11-20 03:29:51
自动,运行中,否,否,否,2021-11-20 03:30:08
堵线,运行中,否,否,否,2021-11-20 03:30:21
自动,运行中,否,否,否,2021-11-20 03:31:21
堵线,运行中,否,否,否,2021-11-20 03:31:34
自动,运行中,否,否,否,2021-11-20 03:31:58
堵线,运行中,否,否,否,2021-11-20 03:32:17
自动,运行中,否,否,否,2021-11-20 03:32:49
堵线,运行中,否,否,否,2021-11-20 03:33:09
自动,运行中,否,否,否,2021-11-20 03:33:36
堵线,运行中,否,否,否,2021-11-20 03:33:49
自动,运行中,否,否,否,2021-11-20 03:34:07
堵线,运行中,否,否,否,2021-11-20 03:34:27
自动,运行中,否,否,否,2021-11-20 03:34:48
堵线,运行中,否,否,否,2021-11-20 03:35:07
自动,运行中,否,否,否,2021-11-20 03:35:44
堵线,运行中,否,否,否,2021-11-20 03:36:03
自动,运行中,否,否,否,2021-11-20 03:36:19
堵线,运行中,否,否,否,2021-11-20 03:36:38
自动,运行中,否,否,否,2021-11-20 03:37:45
堵线,运行中,否,否,否,2021-11-20 03:38:05
自动,运行中,否,否,否,2021-11-20 03:38:36
堵线,运行中,否,否,否,2021-11-20 03:38:56
自动,运行中,否,否,否,2021-11-20 03:39:11
堵线,运行中,否,否,否,2021-11-20 03:39:32
自动,运行中,否,否,否,2021-11-20 03:40:32
堵线,运行中,否,否,否,2021-11-20 03:40:52
自动,运行中,否,否,否,2021-11-20 03:41:16
堵线,运行中,否,否,否,2021-11-20 03:41:30
自动,运行中,否,否,否,2021-11-20 03:41:44
堵线,运行中,否,否,否,2021-11-20 03:41:57
自动,运行中,否,否,否,2021-11-20 03:42:15
堵线,运行中,否,否,否,2021-11-20 03:42:35
自动,运行中,否,否,否,2021-11-20 03:43:18
堵线,运行中,否,否,否,2021-11-20 03:43:32
自动,运行中,否,否,否,2021-11-20 03:43:53
堵线,运行中,否,否,否,2021-11-20 03:44:13
自动,运行中,否,否,否,2021-11-20 03:44:36
堵线,运行中,否,否,否,2021-11-20 03:44:56
自动,运行中,否,否,否,2021-11-20 03:45:25
堵线,运行中,否,否,否,2021-11-20 03:45:39
自动,运行中,否,否,否,2021-11-20 03:46:16
堵线,运行中,否,否,否,2021-11-20 03:46:35
自动,运行中,否,否,否,2021-11-20 03:47:25
堵线,运行中,否,否,否,2021-11-20 03:47:44
自动,运行中,否,否,否,2021-11-20 03:47:52
堵线,运行中,否,否,否,2021-11-20 03:48:28
自动,运行中,否,否,否,2021-11-20 03:48:33
堵线,运行中,否,否,否,2021-11-20 03:48:52
自动,运行中,否,否,否,2021-11-20 03:49:00
堵线,运行中,否,否,否,2021-11-20 03:49:19
自动,运行中,否,否,否,2021-11-20 03:49:32
堵线,运行中,否,否,否,2021-11-20 03:49:51
自动,运行中,否,否,否,2021-11-20 03:50:10
堵线,运行中,否,否,否,2021-11-20 03:50:44
自动,运行中,否,否,否,2021-11-20 03:50:53
堵线,运行中,否,否,否,2021-11-20 03:51:08
自动,运行中,否,否,否,2021-11-20 03:51:30
堵线,运行中,否,否,否,2021-11-20 03:51:46
自动,运行中,否,否,否,2021-11-20 03:52:06
堵线,运行中,否,否,否,2021-11-20 03:52:26
自动,运行中,否,否,否,2021-11-20 03:52:49
堵线,运行中,否,否,否,2021-11-20 03:53:09
自动,运行中,否,否,否,2021-11-20 03:53:22
堵线,运行中,否,否,否,2021-11-20 03:53:41
自动,运行中,否,否,否,2021-11-20 03:54:00
堵线,运行中,否,否,否,2021-11-20 03:54:16
自动,运行中,否,否,否,2021-11-20 03:54:29
堵线,运行中,否,否,否,2021-11-20 03:54:48
自动,运行中,否,否,否,2021-11-20 03:55:09
堵线,运行中,否,否,否,2021-11-20 03:55:28
自动,运行中,否,否,否,2021-11-20 03:56:24
堵线,运行中,否,否,否,2021-11-20 03:56:43
自动,运行中,否,否,否,2021-11-20 03:56:51
堵线,运行中,否,否,否,2021-11-20 03:57:10
自动,运行中,否,否,否,2021-11-20 03:57:24
堵线,运行中,否,否,否,2021-11-20 03:57:37
自动,运行中,否,否,否,2021-11-20 03:58:07
堵线,运行中,否,否,否,2021-11-20 03:58:22
自动,运行中,否,否,否,2021-11-20 03:58:30
堵线,运行中,否,否,否,2021-11-20 03:58:50
自动,运行中,否,否,否,2021-11-20 03:58:58
堵线,运行中,否,否,否,2021-11-20 03:59:12
自动,运行中,否,否,否,2021-11-20 03:59:19
堵线,运行中,否,否,否,2021-11-20 03:59:39
自动,运行中,否,否,否,2021-11-20 03:59:47
堵线,运行中,否,否,否,2021-11-20 04:00:06
自动,运行中,否,否,否,2021-11-20 04:00:27
堵线,运行中,否,否,否,2021-11-20 04:00:46
自动,运行中,否,否,否,2021-11-20 04:00:57
堵线,运行中,否,否,否,2021-11-20 04:01:16
自动,运行中,否,否,否,2021-11-20 04:01:22
堵线,运行中,否,否,否,2021-11-20 04:01:41
自动,运行中,否,否,否,2021-11-20 04:01:49
堵线,运行中,否,否,否,2021-11-20 04:02:09
自动,运行中,否,否,否,2021-11-20 04:02:14
堵线,运行中,否,否,否,2021-11-20 04:03:04
等料,运行中,否,否,否,2021-11-20 04:03:12
自动,运行中,否,否,否,2021-11-20 04:03:30
等料,运行中,否,否,否,2021-11-20 04:03:55
自动,运行中,否,否,否,2021-11-20 04:04:47
堵线,运行中,否,否,否,2021-11-20 04:04:52
自动,运行中,否,否,否,2021-11-20 04:08:25
堵线,运行中,否,否,否,2021-11-20 04:08:44
自动,运行中,否,否,否,2021-11-20 04:08:59
暂停,运行中,否,否,否,2021-11-20 04:09:49
自动,运行中,否,否,否,2021-11-20 04:10:18
堵线,运行中,否,否,否,2021-11-20 04:11:22
自动,运行中,否,否,否,2021-11-20 04:11:32
堵线,运行中,否,否,否,2021-11-20 04:11:52
自动,运行中,否,否,否,2021-11-20 04:12:10
堵线,运行中,否,否,否,2021-11-20 04:12:30
自动,运行中,否,否,否,2021-11-20 04:12:56
堵线,运行中,否,否,否,2021-11-20 04:13:17
自动,运行中,否,否,否,2021-11-20 04:13:47
堵线,运行中,否,否,否,2021-11-20 04:14:00
自动,运行中,否,否,否,2021-11-20 04:14:19
堵线,运行中,否,否,否,2021-11-20 04:14:35
自动,运行中,否,否,否,2021-11-20 04:14:46
堵线,运行中,否,否,否,2021-11-20 04:15:05
自动,运行中,否,否,否,2021-11-20 04:15:21
堵线,运行中,否,否,否,2021-11-20 04:15:40
自动,运行中,否,否,否,2021-11-20 04:15:56
堵线,运行中,否,否,否,2021-11-20 04:16:16
自动,运行中,否,否,否,2021-11-20 04:16:29
堵线,运行中,否,否,否,2021-11-20 04:16:48
自动,运行中,否,否,否,2021-11-20 04:16:58
堵线,运行中,否,否,否,2021-11-20 04:17:18
自动,运行中,否,否,否,2021-11-20 04:17:34
堵线,运行中,否,否,否,2021-11-20 04:17:53
自动,运行中,否,否,否,2021-11-20 04:18:46
堵线,运行中,否,否,否,2021-11-20 04:19:05
自动,运行中,否,否,否,2021-11-20 04:19:15
堵线,运行中,否,否,否,2021-11-20 04:19:35
自动,运行中,否,否,否,2021-11-20 04:19:56
堵线,运行中,否,否,否,2021-11-20 04:20:15
自动,运行中,否,否,否,2021-11-20 04:20:29
堵线,运行中,否,否,否,2021-11-20 04:20:48
自动,运行中,否,否,否,2021-11-20 04:21:12
堵线,运行中,否,否,否,2021-11-20 04:21:31
自动,运行中,否,否,否,2021-11-20 04:21:47
堵线,运行中,否,否,否,2021-11-20 04:22:06
自动,运行中,否,否,否,2021-11-20 04:22:19
堵线,运行中,否,否,否,2021-11-20 04:22:39
自动,运行中,否,否,否,2021-11-20 04:22:47
堵线,运行中,否,否,否,2021-11-20 04:23:21
自动,运行中,否,否,否,2021-11-20 04:23:38
堵线,运行中,否,否,否,2021-11-20 04:23:51
自动,运行中,否,否,否,2021-11-20 04:24:09
堵线,运行中,否,否,否,2021-11-20 04:24:29
自动,运行中,否,否,否,2021-11-20 04:24:44
堵线,运行中,否,否,否,2021-11-20 04:25:04
自动,运行中,否,否,否,2021-11-20 04:25:48
堵线,运行中,否,否,否,2021-11-20 04:26:08
自动,运行中,否,否,否,2021-11-20 04:26:22
堵线,运行中,否,否,否,2021-11-20 04:26:38
自动,运行中,否,否,否,2021-11-20 04:26:48
堵线,运行中,否,否,否,2021-11-20 04:27:08
自动,运行中,否,否,否,2021-11-20 04:27:21
堵线,运行中,否,否,否,2021-11-20 04:27:40
自动,运行中,否,否,否,2021-11-20 04:27:57
堵线,运行中,否,否,否,2021-11-20 04:28:13
自动,运行中,否,否,否,2021-11-20 04:28:27
堵线,运行中,否,否,否,2021-11-20 04:28:40
自动,运行中,否,否,否,2021-11-20 04:28:48
堵线,运行中,否,否,否,2021-11-20 04:29:07
自动,运行中,否,否,否,2021-11-20 04:29:45
堵线,运行中,否,否,否,2021-11-20 04:29:58
自动,运行中,否,否,否,2021-11-20 04:30:09
堵线,运行中,否,否,否,2021-11-20 04:30:28
堵线,空闲,否,否,否,2021-11-20 04:30:36
自动,空闲,否,否,否,2021-11-20 04:30:49
自动,运行中,否,否,否,2021-11-20 04:31:03
堵线,运行中,否,否,否,2021-11-20 04:31:09
自动,运行中,否,否,否,2021-11-20 04:31:30
堵线,运行中,否,否,否,2021-11-20 04:31:49
自动,运行中,否,否,否,2021-11-20 04:32:00
堵线,运行中,否,否,否,2021-11-20 04:32:19
自动,运行中,否,否,否,2021-11-20 04:32:33
堵线,运行中,否,否,否,2021-11-20 04:32:52
自动,运行中,否,否,否,2021-11-20 04:33:05
堵线,运行中,否,否,否,2021-11-20 04:33:26
自动,运行中,否,否,否,2021-11-20 04:33:35
堵线,运行中,否,否,否,2021-11-20 04:33:48
自动,运行中,否,否,否,2021-11-20 04:34:01
堵线,运行中,否,否,否,2021-11-20 04:34:20
自动,运行中,否,否,否,2021-11-20 04:34:33
堵线,运行中,否,否,否,2021-11-20 04:34:53
自动,运行中,否,否,否,2021-11-20 04:35:04
堵线,运行中,否,否,否,2021-11-20 04:35:20
自动,运行中,否,否,否,2021-11-20 04:35:28
堵线,运行中,否,否,否,2021-11-20 04:36:18
自动,运行中,否,否,否,2021-11-20 04:36:25
堵线,运行中,否,否,否,2021-11-20 04:36:45
自动,运行中,否,否,否,2021-11-20 04:37:51
堵线,运行中,否,否,否,2021-11-20 04:38:10
自动,运行中,否,否,否,2021-11-20 04:38:15
堵线,运行中,否,否,否,2021-11-20 04:38:35
自动,运行中,否,否,否,2021-11-20 04:38:45
堵线,运行中,否,否,否,2021-11-20 04:39:05
自动,运行中,否,否,否,2021-11-20 04:39:33
堵线,运行中,否,否,否,2021-11-20 04:39:53
自动,运行中,否,否,否,2021-11-20 04:40:27
堵线,运行中,否,否,否,2021-11-20 04:40:46
自动,运行中,否,否,否,2021-11-20 04:40:52
堵线,运行中,否,否,否,2021-11-20 04:41:11
自动,运行中,否,否,否,2021-11-20 04:41:19
堵线,运行中,否,否,否,2021-11-20 04:41:38
自动,运行中,否,否,否,2021-11-20 04:41:56
堵线,运行中,否,否,否,2021-11-20 04:42:09
自动,运行中,否,否,否,2021-11-20 04:43:01
堵线,运行中,否,否,否,2021-11-20 04:43:39
自动,运行中,否,否,否,2021-11-20 04:44:15
堵线,运行中,否,否,否,2021-11-20 04:44:34
自动,运行中,否,否,否,2021-11-20 04:44:49
堵线,运行中,否,否,否,2021-11-20 04:45:02
自动,运行中,否,否,否,2021-11-20 04:45:15
堵线,运行中,否,否,否,2021-11-20 04:45:34
自动,运行中,否,否,否,2021-11-20 04:45:42
堵线,运行中,否,否,否,2021-11-20 04:46:02
自动,运行中,否,否,否,2021-11-20 04:46:25
堵线,运行中,否,否,否,2021-11-20 04:46:46
自动,运行中,否,否,否,2021-11-20 04:46:56
堵线,运行中,否,否,否,2021-11-20 04:47:16
自动,运行中,否,否,否,2021-11-20 04:47:21
堵线,运行中,否,否,否,2021-11-20 04:47:40
自动,运行中,否,否,否,2021-11-20 04:47:57
堵线,运行中,否,否,否,2021-11-20 04:48:10
