组框机状态,打胶机状态,打胶机是否缺胶,打胶机是否缺料,打胶机是否急停,时间
堵线,运行中,否,否,否,2021-11-19 20:44:15
自动,运行中,否,否,否,2021-11-19 20:44:28
堵线,运行中,否,否,否,2021-11-19 20:44:48
自动,运行中,否,否,否,2021-11-19 20:45:02
堵线,运行中,否,否,否,2021-11-19 20:45:15
自动,运行中,否,否,否,2021-11-19 20:45:25
堵线,运行中,否,否,否,2021-11-19 20:45:45
自动,运行中,否,否,否,2021-11-19 20:46:01
堵线,运行中,否,否,否,2021-11-19 20:46:17
自动,运行中,否,否,否,2021-11-19 20:47:21
堵线,运行中,否,否,否,2021-11-19 20:47:34
自动,运行中,否,否,否,2021-11-19 20:48:03
堵线,运行中,否,否,否,2021-11-19 20:48:23
堵线,空闲,否,否,否,2021-11-19 20:48:34
自动,空闲,否,否,否,2021-11-19 20:48:41
堵线,空闲,否,否,否,2021-11-19 20:49:18
自动,空闲,否,否,否,2021-11-19 20:49:43
堵线,空闲,否,否,否,2021-11-19 20:49:56
自动,空闲,否,否,否,2021-11-19 20:50:35
自动,运行中,否,否,否,2021-11-19 20:53:39
自动,空闲,否,否,否,2021-11-19 20:54:16
自动,运行中,否,否,否,2021-11-19 20:54:18
堵线,运行中,否,否,否,2021-11-19 20:54:36
堵线,空闲,否,否,否,2021-11-19 20:54:55
自动,空闲,否,否,否,2021-11-19 20:55:03
堵线,空闲,否,否,否,2021-11-19 20:55:22
等料,空闲,否,否,否,2021-11-19 20:55:39
自动,空闲,否,否,否,2021-11-19 20:58:45
自动,运行中,否,否,否,2021-11-19 21:03:52
自动,空闲,否,否,否,2021-11-19 21:05:26
堵线,空闲,否,否,否,2021-11-19 21:05:31
自动,空闲,否,否,否,2021-11-19 21:07:54
堵线,空闲,否,否,否,2021-11-19 21:08:07
自动,空闲,否,否,否,2021-11-19 21:09:05
自动,运行中,否,否,否,2021-11-19 21:09:15
堵线,运行中,否,否,否,2021-11-19 21:10:35
自动,运行中,否,否,否,2021-11-19 21:10:48
堵线,运行中,否,否,否,2021-11-19 21:11:06
自动,运行中,否,否,否,2021-11-19 21:11:21
堵线,运行中,否,否,否,2021-11-19 21:11:41
自动,运行中,否,否,否,2021-11-19 21:11:59
堵线,运行中,否,否,否,2021-11-19 21:12:19
自动,运行中,否,否,否,2021-11-19 21:12:29
堵线,运行中,否,否,否,2021-11-19 21:13:20
自动,运行中,否,否,否,2021-11-19 21:13:37
堵线,运行中,否,否,否,2021-11-19 21:13:50
自动,运行中,否,否,否,2021-11-19 21:22:33
堵线,运行中,否,否,否,2021-11-19 21:22:53
堵线,空闲,否,否,否,2021-11-19 21:23:36
自动,空闲,否,否,否,2021-11-19 21:26:53
堵线,空闲,否,否,否,2021-11-19 21:27:08
自动,空闲,否,否,否,2021-11-19 21:27:27
自动,运行中,否,否,否,2021-11-19 21:28:02
堵线,运行中,否,否,否,2021-11-19 21:29:31
自动,运行中,否,否,否,2021-11-19 21:29:44
堵线,运行中,否,否,否,2021-11-19 21:30:03
自动,运行中,否,否,否,2021-11-19 21:30:11
自动,运行中,是,否,否,2021-11-19 21:30:20
堵线,运行中,是,否,否,2021-11-19 21:30:30
自动,运行中,是,否,否,2021-11-19 21:30:38
堵线,运行中,是,否,否,2021-11-19 21:30:58
自动,运行中,是,否,否,2021-11-19 21:31:09
自动,运行中,否,否,否,2021-11-19 21:31:18
堵线,运行中,否,否,否,2021-11-19 21:31:28
自动,运行中,否,否,否,2021-11-19 21:31:31
堵线,运行中,否,否,否,2021-11-19 21:32:16
自动,运行中,否,否,否,2021-11-19 21:32:24
堵线,运行中,否,否,否,2021-11-19 21:32:44
自动,运行中,否,否,否,2021-11-19 21:33:01
堵线,运行中,否,否,否,2021-11-19 21:33:14
自动,运行中,否,否,否,2021-11-19 21:33:27
堵线,运行中,否,否,否,2021-11-19 21:33:46
自动,运行中,否,否,否,2021-11-19 21:33:57
堵线,运行中,否,否,否,2021-11-19 21:34:16
自动,运行中,否,否,否,2021-11-19 21:34:43
堵线,运行中,否,否,否,2021-11-19 21:35:00
自动,运行中,否,否,否,2021-11-19 21:35:39
堵线,运行中,否,否,否,2021-11-19 21:35:59
自动,运行中,否,否,否,2021-11-19 21:36:25
堵线,运行中,否,否,否,2021-11-19 21:36:45
