条码,产线信息,设备号,设备状态,目标温度（取锡）,到达时间（取锡）,持续时间（取锡）,释放时间（取锡）,释放温度（取锡）,能量PAIN（取锡）,焊头使用次数（取锡）,目标温度（焊接）,到达时间（焊接）,持续时间（焊接）,释放时间（焊接）,释放温度（焊接）,能量PAIN（焊接）,焊头使用次数（焊接）,目标温度（脱锡）,到达时间（脱锡）,持续时间（脱锡）,释放时间（脱锡）,释放温度（脱锡）,能量PAIN（脱锡）,焊头使用次数（脱锡）,缺陷,缺陷位置,实时温度,入料时间,出料时间
CY6HMPM21B20011661,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19960.0,405.0,20.0,20.0,0.0,395.0,190.0,19960.0,280.0,20.0,10.0,0.0,270.0,190.0,19960.0,"['', '', '', 'With_Glue4', '', '']","['', '', '', '4', '', '']",401.0,2021-11-25 09:56:08,2021-11-25 09:57:19
CY6HMPM21B20012281,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19961.0,405.0,20.0,20.0,0.0,395.0,190.0,19961.0,280.0,20.0,10.0,0.0,270.0,190.0,19961.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",397.0,2021-11-25 09:57:05,2021-11-25 09:57:37
CY6HMPM21B20012281,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19962.0,405.0,20.0,20.0,0.0,395.0,190.0,19962.0,280.0,20.0,10.0,0.0,270.0,190.0,19962.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",389.0,2021-11-25 09:57:24,2021-11-25 09:57:55
CY6HMPM21B20012457,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19963.0,405.0,20.0,20.0,0.0,395.0,190.0,19963.0,280.0,20.0,10.0,0.0,270.0,190.0,19963.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",399.0,2021-11-25 09:57:42,2021-11-25 09:58:13
CY6HMPM21B20012406,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19964.0,405.0,20.0,20.0,0.0,395.0,190.0,19964.0,280.0,20.0,10.0,0.0,270.0,190.0,19964.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",395.0,2021-11-25 09:58:01,2021-11-25 09:58:33
CY6HMPM21B20012398,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19965.0,405.0,20.0,20.0,0.0,395.0,190.0,19965.0,280.0,20.0,10.0,0.0,270.0,190.0,19965.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",393.0,2021-11-25 09:58:19,2021-11-25 09:58:50
CY6HMPM21B20012390,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19966.0,405.0,20.0,20.0,0.0,395.0,190.0,19966.0,280.0,20.0,10.0,0.0,270.0,190.0,19966.0,"['NO_Solder1', '', '', '', '', '']","['1', '', '', '', '', '']",104.0,2021-11-25 09:58:37,2021-11-25 09:59:10
CY6HMPM21B20012553,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19967.0,405.0,20.0,20.0,0.0,395.0,190.0,19967.0,280.0,20.0,10.0,0.0,270.0,190.0,19967.0,"['', '', 'NO_Solder3', '', 'NO_Solder5', '']","['', '', '3', '', '5', '']",402.0,2021-11-25 09:58:58,2021-11-25 09:59:33
CY6HMPM21B20012660,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19968.0,405.0,20.0,20.0,0.0,395.0,190.0,19968.0,280.0,20.0,10.0,0.0,270.0,190.0,19968.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",394.0,2021-11-25 09:59:21,2021-11-25 10:00:01
CY6HMPM21B20012648,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19969.0,405.0,20.0,20.0,0.0,395.0,190.0,19969.0,280.0,20.0,10.0,0.0,270.0,190.0,19969.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",392.0,2021-11-25 09:59:42,2021-11-25 10:00:19
CY6HMPM21B20012640,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19970.0,405.0,20.0,20.0,0.0,395.0,190.0,19970.0,280.0,20.0,10.0,0.0,270.0,190.0,19970.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",397.0,2021-11-25 10:00:06,2021-11-25 10:00:37
CY6HMPM21B20012414,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19971.0,405.0,20.0,20.0,0.0,395.0,190.0,19971.0,280.0,20.0,10.0,0.0,270.0,190.0,19971.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",397.0,2021-11-25 10:00:28,2021-11-25 10:00:58
CY6HMPM21B20012650,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19972.0,405.0,20.0,20.0,0.0,395.0,190.0,19972.0,280.0,20.0,10.0,0.0,270.0,190.0,19972.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",400.0,2021-11-25 10:00:51,2021-11-25 10:01:20
CY6HMPM21B20012471,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19973.0,405.0,20.0,20.0,0.0,395.0,190.0,19973.0,280.0,20.0,10.0,0.0,270.0,190.0,19973.0,"['NO_Solder1', 'NO_Solder2', '', '', '', '']","['1', '2', '', '', '', '']",99.0,2021-11-25 10:01:13,2021-11-25 10:01:43
CY6HMPM21B20012487,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19974.0,405.0,20.0,20.0,0.0,395.0,190.0,19974.0,280.0,20.0,10.0,0.0,270.0,190.0,19974.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",390.0,2021-11-25 10:01:34,2021-11-25 10:02:10
CY6HMPM21B20012494,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19975.0,405.0,20.0,20.0,0.0,395.0,190.0,19975.0,280.0,20.0,10.0,0.0,270.0,190.0,19975.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",395.0,2021-11-25 10:01:58,2021-11-25 10:02:28
CY6HMPM21B20012506,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19976.0,405.0,20.0,20.0,0.0,395.0,190.0,19976.0,280.0,20.0,10.0,0.0,270.0,190.0,19976.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",393.0,2021-11-25 10:02:20,2021-11-25 10:02:51
CY6HMPM21B20012502,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19977.0,405.0,20.0,20.0,0.0,395.0,190.0,19977.0,280.0,20.0,10.0,0.0,270.0,190.0,19977.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",395.0,2021-11-25 10:02:43,2021-11-25 10:03:13
CY6HMPM21B20012647,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19978.0,405.0,20.0,20.0,0.0,395.0,190.0,19978.0,280.0,20.0,10.0,0.0,270.0,190.0,19978.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",403.0,2021-11-25 10:03:05,2021-11-25 10:03:36
CY6HMPM21B20012664,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19979.0,405.0,20.0,20.0,0.0,395.0,190.0,19979.0,280.0,20.0,10.0,0.0,270.0,190.0,19979.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",398.0,2021-11-25 10:03:28,2021-11-25 10:03:58
CY6HMPM21B20012611,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19980.0,405.0,20.0,20.0,0.0,395.0,190.0,19980.0,280.0,20.0,10.0,0.0,270.0,190.0,19980.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",394.0,2021-11-25 10:03:51,2021-11-25 10:04:21
CY6HMPM21B20012361,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19981.0,405.0,20.0,20.0,0.0,395.0,190.0,19981.0,280.0,20.0,10.0,0.0,270.0,190.0,19981.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",392.0,2021-11-25 10:04:13,2021-11-25 10:04:43
