条码,产线信息,设备号,设备状态,目标温度（取锡）,到达时间（取锡）,持续时间（取锡）,释放时间（取锡）,释放温度（取锡）,能量PAIN（取锡）,焊头使用次数（取锡）,目标温度（焊接）,到达时间（焊接）,持续时间（焊接）,释放时间（焊接）,释放温度（焊接）,能量PAIN（焊接）,焊头使用次数（焊接）,目标温度（脱锡）,到达时间（脱锡）,持续时间（脱锡）,释放时间（脱锡）,释放温度（脱锡）,能量PAIN（脱锡）,焊头使用次数（脱锡）,缺陷,缺陷位置,实时温度,入料时间,出料时间
CY6HMPM21B20012841,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20172.0,405.0,20.0,20.0,0.0,395.0,190.0,20172.0,280.0,20.0,10.0,0.0,270.0,190.0,20172.0,"['With_Glue1', '', 'NO_Solder3', 'NO_Solder4', '', '']","['1', '', '3', '4', '', '']",99.0,2021-11-25 12:20:33,2021-11-25 12:21:20
CY6HMPM21B20012892,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20173.0,405.0,20.0,20.0,0.0,395.0,190.0,20173.0,280.0,20.0,10.0,0.0,270.0,190.0,20173.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",398.0,2021-11-25 12:20:51,2021-11-25 12:22:04
CY6HMPM21B20013742,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20174.0,405.0,20.0,20.0,0.0,395.0,190.0,20174.0,280.0,20.0,10.0,0.0,270.0,190.0,20174.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",391.0,2021-11-25 12:21:25,2021-11-25 12:22:24
CY6HMPM21B20013749,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20175.0,405.0,20.0,20.0,0.0,395.0,190.0,20175.0,280.0,20.0,10.0,0.0,270.0,190.0,20175.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",398.0,2021-11-25 12:22:08,2021-11-25 12:22:42
CY6HMPM21B20012846,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20176.0,405.0,20.0,20.0,0.0,395.0,190.0,20176.0,280.0,20.0,10.0,0.0,270.0,190.0,20176.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",399.0,2021-11-25 12:22:29,2021-11-25 12:23:00
CY6HMPM21B20012749,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20177.0,405.0,20.0,20.0,0.0,395.0,190.0,20177.0,280.0,20.0,10.0,0.0,270.0,190.0,20177.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",390.0,2021-11-25 12:22:47,2021-11-25 12:24:20
CY6HMPM21B20013750,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20178.0,405.0,20.0,20.0,0.0,395.0,190.0,20178.0,280.0,20.0,10.0,0.0,270.0,190.0,20178.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",401.0,2021-11-25 12:23:09,2021-11-25 12:24:40
CY6HMPM21B20013705,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20179.0,405.0,20.0,20.0,0.0,395.0,190.0,20179.0,280.0,20.0,10.0,0.0,270.0,190.0,20179.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",401.0,2021-11-25 12:24:24,2021-11-25 12:24:58
CY6HMPM21B20012865,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20180.0,405.0,20.0,20.0,0.0,395.0,190.0,20180.0,280.0,20.0,10.0,0.0,270.0,190.0,20180.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",393.0,2021-11-25 12:24:44,2021-11-25 12:25:17
CY6HMPM21B20012705,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20181.0,405.0,20.0,20.0,0.0,395.0,190.0,20181.0,280.0,20.0,10.0,0.0,270.0,190.0,20181.0,"['', '', '', 'Short4', '', '']","['', '', '', '4', '', '']",397.0,2021-11-25 12:25:02,2021-11-25 12:25:37
CY6HMPM21B20013714,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20182.0,405.0,20.0,20.0,0.0,395.0,190.0,20182.0,280.0,20.0,10.0,0.0,270.0,190.0,20182.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",391.0,2021-11-25 12:25:21,2021-11-25 12:25:58
CY6HMPM21B20012889,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20183.0,405.0,20.0,20.0,0.0,395.0,190.0,20183.0,280.0,20.0,10.0,0.0,270.0,190.0,20183.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",399.0,2021-11-25 12:25:42,2021-11-25 12:26:33
CY6HMPM21B20013754,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20184.0,405.0,20.0,20.0,0.0,395.0,190.0,20184.0,280.0,20.0,10.0,0.0,270.0,190.0,20184.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",396.0,2021-11-25 12:26:02,2021-11-25 12:26:55
NO_Line_Bar20211125122716,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20185.0,405.0,20.0,20.0,0.0,395.0,190.0,20185.0,280.0,20.0,10.0,0.0,270.0,190.0,20185.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",392.0,2021-11-25 12:26:37,2021-11-25 12:27:16
CY6HMPM21B20013756,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20186.0,405.0,20.0,20.0,0.0,395.0,190.0,20186.0,280.0,20.0,10.0,0.0,270.0,190.0,20186.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",395.0,2021-11-25 12:27:00,2021-11-25 12:27:58
CY6HMPM21B20013713,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20187.0,405.0,20.0,20.0,0.0,395.0,190.0,20187.0,280.0,20.0,10.0,0.0,270.0,190.0,20187.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",393.0,2021-11-25 12:27:20,2021-11-25 12:32:20
CY6HMPM21B20012902,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20188.0,405.0,20.0,20.0,0.0,395.0,190.0,20188.0,280.0,20.0,10.0,0.0,270.0,190.0,20188.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",399.0,2021-11-25 12:28:02,2021-11-25 12:33:10
NO_Line_Bar20211125123618,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20189.0,405.0,20.0,20.0,0.0,395.0,190.0,20189.0,280.0,20.0,10.0,0.0,270.0,190.0,20189.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",392.0,2021-11-25 12:32:24,2021-11-25 12:36:16
CY6HMPM21B20013708,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20190.0,405.0,20.0,20.0,0.0,395.0,190.0,20190.0,280.0,20.0,10.0,0.0,270.0,190.0,20190.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",398.0,2021-11-25 12:33:14,2021-11-25 12:36:55
CY6HMPM21B20012851,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20191.0,405.0,20.0,20.0,0.0,395.0,190.0,20191.0,280.0,20.0,10.0,0.0,270.0,190.0,20191.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",398.0,2021-11-25 12:36:22,2021-11-25 12:37:16
CY6HMPM21B20013709,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20192.0,405.0,20.0,20.0,0.0,395.0,190.0,20192.0,280.0,20.0,10.0,0.0,270.0,190.0,20192.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",81.0,2021-11-25 12:36:59,2021-11-25 12:37:46
CY6HMPM21B20012476,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20193.0,405.0,20.0,20.0,0.0,395.0,190.0,20193.0,280.0,20.0,10.0,0.0,270.0,190.0,20193.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",393.0,2021-11-25 12:37:21,2021-11-25 12:38:15
CY6HMPM21B20013533,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20194.0,405.0,20.0,20.0,0.0,395.0,190.0,20194.0,280.0,20.0,10.0,0.0,270.0,190.0,20194.0,"['', '', 'NO_Solder3', 'NO_Solder4', '', '']","['', '', '3', '4', '', '']",391.0,2021-11-25 12:37:51,2021-11-25 12:38:34
CY6HMPM21B20013720,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20195.0,405.0,20.0,20.0,0.0,395.0,190.0,20195.0,280.0,20.0,10.0,0.0,270.0,190.0,20195.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",395.0,2021-11-25 12:38:20,2021-11-25 12:39:05
CY6HMPM21B20013744,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20196.0,405.0,20.0,20.0,0.0,395.0,190.0,20196.0,280.0,20.0,10.0,0.0,270.0,190.0,20196.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",400.0,2021-11-25 12:38:39,2021-11-25 12:39:24
CY6HMPM21B20012916,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20197.0,405.0,20.0,20.0,0.0,395.0,190.0,20197.0,280.0,20.0,10.0,0.0,270.0,190.0,20197.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",398.0,2021-11-25 12:39:10,2021-11-25 12:39:41
CY6HMPM21B20013772,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20198.0,405.0,20.0,20.0,0.0,395.0,190.0,20198.0,280.0,20.0,10.0,0.0,270.0,190.0,20198.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",392.0,2021-11-25 12:39:28,2021-11-25 12:40:01
CY6HMPM21B20013696,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20199.0,405.0,20.0,20.0,0.0,395.0,190.0,20199.0,280.0,20.0,10.0,0.0,270.0,190.0,20199.0,"['', '', 'Short3', 'NO_Solder4', '', '']","['', '', '3', '4', '', '']",400.0,2021-11-25 12:39:45,2021-11-25 12:40:21
NO_Line_Bar20211125124053,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20200.0,405.0,20.0,20.0,0.0,395.0,190.0,20200.0,280.0,20.0,10.0,0.0,270.0,190.0,20200.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",401.0,2021-11-25 12:40:25,2021-11-25 12:40:52
CY6HMPM21B20013728,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20201.0,405.0,20.0,20.0,0.0,395.0,190.0,20201.0,280.0,20.0,10.0,0.0,270.0,190.0,20201.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",390.0,2021-11-25 12:40:41,2021-11-25 12:41:12
CY6HMPM21B20013737,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20202.0,405.0,20.0,20.0,0.0,395.0,190.0,20202.0,280.0,20.0,10.0,0.0,270.0,190.0,20202.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",395.0,2021-11-25 12:41:04,2021-11-25 12:41:34
CY6HMPM21B20012895,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20203.0,405.0,20.0,20.0,0.0,395.0,190.0,20203.0,280.0,20.0,10.0,0.0,270.0,190.0,20203.0,"['', '', '', 'Short4', '', '']","['', '', '', '4', '', '']",398.0,2021-11-25 12:41:27,2021-11-25 12:42:11
CY6HMPM21B20012928,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20204.0,405.0,20.0,20.0,0.0,395.0,190.0,20204.0,280.0,20.0,10.0,0.0,270.0,190.0,20204.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",392.0,2021-11-25 12:41:49,2021-11-25 12:42:40
CY6HMPM21B20012655,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20205.0,405.0,20.0,20.0,0.0,395.0,190.0,20205.0,280.0,20.0,10.0,0.0,270.0,190.0,20205.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",402.0,2021-11-25 12:42:16,2021-11-25 12:42:58
CY6HMPM21B20013626,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20206.0,405.0,20.0,20.0,0.0,395.0,190.0,20206.0,280.0,20.0,10.0,0.0,270.0,190.0,20206.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",402.0,2021-11-25 12:42:45,2021-11-25 12:43:16
CY6HMPM21B20012872,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20207.0,405.0,20.0,20.0,0.0,395.0,190.0,20207.0,280.0,20.0,10.0,0.0,270.0,190.0,20207.0,"['NO_Solder1', 'NO_Solder2', '', '', '', '']","['1', '2', '', '', '', '']",102.0,2021-11-25 12:43:05,2021-11-25 12:43:37
CY6HMPM21B20012925,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20208.0,405.0,20.0,20.0,0.0,395.0,190.0,20208.0,280.0,20.0,10.0,0.0,270.0,190.0,20208.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",401.0,2021-11-25 12:43:28,2021-11-25 12:44:03
CY6HMPM21B20013506,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20209.0,405.0,20.0,20.0,0.0,395.0,190.0,20209.0,280.0,20.0,10.0,0.0,270.0,190.0,20209.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",394.0,2021-11-25 12:43:51,2021-11-25 12:44:23
CY6HMPM21B20012881,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20210.0,405.0,20.0,20.0,0.0,395.0,190.0,20210.0,280.0,20.0,10.0,0.0,270.0,190.0,20210.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",400.0,2021-11-25 12:44:30,2021-11-25 12:44:55
CY6HMPM21B20012931,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20211.0,405.0,20.0,20.0,0.0,395.0,190.0,20211.0,280.0,20.0,10.0,0.0,270.0,190.0,20211.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",396.0,2021-11-25 12:44:59,2021-11-25 12:45:25
CY6HMPM21B20012910,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20212.0,405.0,20.0,20.0,0.0,395.0,190.0,20212.0,280.0,20.0,10.0,0.0,270.0,190.0,20212.0,"['', '', '', '', 'With_Glue5', '']","['', '', '', '', '5', '']",392.0,2021-11-25 12:45:30,2021-11-25 12:46:03
CY6HMPM21B20009288,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20213.0,405.0,20.0,20.0,0.0,395.0,190.0,20213.0,280.0,20.0,10.0,0.0,270.0,190.0,20213.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",402.0,2021-11-25 12:45:55,2021-11-25 12:52:59
CY6HMPM21B20012935,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20214.0,405.0,20.0,20.0,0.0,395.0,190.0,20214.0,280.0,20.0,10.0,0.0,270.0,190.0,20214.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",392.0,2021-11-25 12:53:04,2021-11-25 12:53:28
CY6HMPM21B20013780,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20215.0,405.0,20.0,20.0,0.0,395.0,190.0,20215.0,280.0,20.0,10.0,0.0,270.0,190.0,20215.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",392.0,2021-11-25 12:53:19,2021-11-25 12:54:01
CY6HMPM21B20012938,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20216.0,405.0,20.0,20.0,0.0,395.0,190.0,20216.0,280.0,20.0,10.0,0.0,270.0,190.0,20216.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",397.0,2021-11-25 12:53:36,2021-11-25 12:54:20
CY6HMPM21B20012887,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20217.0,405.0,20.0,20.0,0.0,395.0,190.0,20217.0,280.0,20.0,10.0,0.0,270.0,190.0,20217.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",402.0,2021-11-25 13:00:36,2021-11-25 13:01:01
CY6HMPM21B20012864,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20218.0,405.0,20.0,20.0,0.0,395.0,190.0,20218.0,280.0,20.0,10.0,0.0,270.0,190.0,20218.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",399.0,2021-11-25 13:01:08,2021-11-25 13:01:32
CY6HMPM21B20013745,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20219.0,405.0,20.0,20.0,0.0,395.0,190.0,20219.0,280.0,20.0,10.0,0.0,270.0,190.0,20219.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",390.0,2021-11-25 13:01:44,2021-11-25 13:02:14
CY6HMPM21B20012939,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20220.0,405.0,20.0,20.0,0.0,395.0,190.0,20220.0,280.0,20.0,10.0,0.0,270.0,190.0,20220.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",400.0,2021-11-25 13:02:06,2021-11-25 13:02:37
CY6HMPM21B20012912,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20221.0,405.0,20.0,20.0,0.0,395.0,190.0,20221.0,280.0,20.0,10.0,0.0,270.0,190.0,20221.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",396.0,2021-11-25 13:02:29,2021-11-25 13:02:55
CY6HMPM21B20013766,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20222.0,405.0,20.0,20.0,0.0,395.0,190.0,20222.0,280.0,20.0,10.0,0.0,270.0,190.0,20222.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",395.0,2021-11-25 13:03:05,2021-11-25 13:03:30
CY6HMPM21B20012879,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20223.0,405.0,20.0,20.0,0.0,395.0,190.0,20223.0,280.0,20.0,10.0,0.0,270.0,190.0,20223.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",398.0,2021-11-25 13:03:20,2021-11-25 13:03:49
CY6HMPM21B20012907,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20224.0,405.0,20.0,20.0,0.0,395.0,190.0,20224.0,280.0,20.0,10.0,0.0,270.0,190.0,20224.0,"['', 'NO_Solder2', '', '', 'With_Glue5', '']","['', '2', '', '', '5', '']",102.0,2021-11-25 13:03:37,2021-11-25 13:04:07
CY6HMPM21B20013541,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20225.0,405.0,20.0,20.0,0.0,395.0,190.0,20225.0,280.0,20.0,10.0,0.0,270.0,190.0,20225.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",401.0,2021-11-25 13:07:49,2021-11-25 13:08:14
NO_Line_Bar20211125130853,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20226.0,405.0,20.0,20.0,0.0,395.0,190.0,20226.0,280.0,20.0,10.0,0.0,270.0,190.0,20226.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",392.0,2021-11-25 13:08:22,2021-11-25 13:08:52
CY6HMPM21B20013796,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20227.0,405.0,20.0,20.0,0.0,395.0,190.0,20227.0,280.0,20.0,10.0,0.0,270.0,190.0,20227.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",390.0,2021-11-25 13:08:44,2021-11-25 13:09:15
CY6HMPM21B20012946,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20228.0,405.0,20.0,20.0,0.0,395.0,190.0,20228.0,280.0,20.0,10.0,0.0,270.0,190.0,20228.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",398.0,2021-11-25 13:09:08,2021-11-25 13:09:38
CY6HMPM21B20012924,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20229.0,405.0,20.0,20.0,0.0,395.0,190.0,20229.0,280.0,20.0,10.0,0.0,270.0,190.0,20229.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",391.0,2021-11-25 13:09:29,2021-11-25 13:10:00
CY6HMPM21B20012821,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20230.0,405.0,20.0,20.0,0.0,395.0,190.0,20230.0,280.0,20.0,10.0,0.0,270.0,190.0,20230.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",394.0,2021-11-25 13:09:51,2021-11-25 13:10:23
CY6HMPM21B20012963,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20231.0,405.0,20.0,20.0,0.0,395.0,190.0,20231.0,280.0,20.0,10.0,0.0,270.0,190.0,20231.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",399.0,2021-11-25 13:10:15,2021-11-25 13:10:47
CY6HMPM21B20013801,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20232.0,405.0,20.0,20.0,0.0,395.0,190.0,20232.0,280.0,20.0,10.0,0.0,270.0,190.0,20232.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",391.0,2021-11-25 13:10:38,2021-11-25 13:11:08
CY6HMPM21B20013788,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20233.0,405.0,20.0,20.0,0.0,395.0,190.0,20233.0,280.0,20.0,10.0,0.0,270.0,190.0,20233.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",400.0,2021-11-25 13:11:01,2021-11-25 13:11:30
CY6HMPM21B20012959,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20234.0,405.0,20.0,20.0,0.0,395.0,190.0,20234.0,280.0,20.0,10.0,0.0,270.0,190.0,20234.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",392.0,2021-11-25 13:11:23,2021-11-25 13:11:54
CY6HMPM21B20013804,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20235.0,405.0,20.0,20.0,0.0,395.0,190.0,20235.0,280.0,20.0,10.0,0.0,270.0,190.0,20235.0,"['', '', '', 'NO_Solder4', '', '']","['', '', '', '4', '', '']",395.0,2021-11-25 13:11:46,2021-11-25 13:12:17
CY6HMPM21B20012944,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20236.0,405.0,20.0,20.0,0.0,395.0,190.0,20236.0,280.0,20.0,10.0,0.0,270.0,190.0,20236.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",398.0,2021-11-25 13:12:09,2021-11-25 13:12:39
CY6HMPM21B20013783,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20237.0,405.0,20.0,20.0,0.0,395.0,190.0,20237.0,280.0,20.0,10.0,0.0,270.0,190.0,20237.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",401.0,2021-11-25 13:12:31,2021-11-25 13:13:01
CY6HMPM21B20012976,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20238.0,405.0,20.0,20.0,0.0,395.0,190.0,20238.0,280.0,20.0,10.0,0.0,270.0,190.0,20238.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",396.0,2021-11-25 13:12:54,2021-11-25 13:13:24
CY6HMPM21B20012914,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20239.0,405.0,20.0,20.0,0.0,395.0,190.0,20239.0,280.0,20.0,10.0,0.0,270.0,190.0,20239.0,"['NO_Solder1', 'NO_Solder2', '', '', '', '']","['1', '2', '', '', '', '']",96.0,2021-11-25 13:13:16,2021-11-25 13:13:47
CY6HMPM21B20013818,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,20240.0,405.0,20.0,20.0,0.0,395.0,190.0,20240.0,280.0,20.0,10.0,0.0,270.0,190.0,20240.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",396.0,2021-11-25 13:13:39,2021-11-25 13:14:13
